종목코드,종목명,시장,2025/12(E)_ROE(%)
123330,제닉,KOSDAQ,78.01
483650,달바글로벌,KOSPI,73.4
171090,선익시스템,KOSDAQ,66.75
278470,에이피알,KOSPI,60.59
450950,아스테라시스,KOSDAQ,51.05
211050,인카금융서비스,KOSDAQ,50.83
439260,대한조선,KOSPI,50.41
257720,실리콘투,KOSDAQ,50.32
042700,한미반도체,KOSPI,47.76
003230,삼양식품,KOSPI,42.26
419530,SAMG엔터,KOSDAQ,40.93
041510,에스엠,KOSDAQ,39.71
196170,알테오젠,KOSDAQ,39.68
267260,HD현대일렉트릭,KOSPI,38.91
089030,테크윙,KOSDAQ,36.7
443060,HD현대마린솔루션,KOSPI,35.61
300080,플리토,KOSDAQ,35.31
000660,SK하이닉스,KOSPI,34.76
335890,비올,KOSDAQ,34.42
007660,이수페타시스,KOSPI,34.09
018290,브이티,KOSDAQ,33.29
064350,현대로템,KOSPI,32.54
020560,아시아나항공,KOSPI,32.48
336570,원텍,KOSDAQ,31.95
039130,하나투어,KOSPI,31.47
176750,듀켐바이오,KOSDAQ,30.87
481070,에이유브랜즈,KOSDAQ,30.27
035900,JYP Ent.,KOSDAQ,29.87
462860,더즌,KOSDAQ,29.82
353810,이지바이오,KOSDAQ,29.42
119850,지엔씨에너지,KOSDAQ,29.39
950170,JTC,KOSDAQ,29.07
083650,비에이치아이,KOSDAQ,28.77
340570,티앤엘,KOSDAQ,28.67
114840,아이패밀리에스씨,KOSDAQ,28.47
214150,클래시스,KOSDAQ,27.92
214450,파마리서치,KOSDAQ,27.59
014940,오리엔탈정공,KOSDAQ,26.8
234030,싸이닉솔루션,KOSDAQ,26.66
092130,이크레더블,KOSDAQ,26.24
402340,SK스퀘어,KOSPI,25.23
003160,디아이,KOSPI,24.92
140860,파크시스템스,KOSDAQ,24.71
065710,서호전기,KOSDAQ,24.67
326030,SK바이오팜,KOSPI,24.59
192820,코스맥스,KOSPI,24.43
067160,SOOP,KOSDAQ,24.24
080160,모두투어,KOSDAQ,23.55
078520,에이블씨엔씨,KOSPI,23.02
138040,메리츠금융지주,KOSPI,23.0
012450,한화에어로스페이스,KOSPI,23.0
033500,동성화인텍,KOSDAQ,22.98
475230,엔알비,KOSDAQ,22.79
079550,LIG넥스원,KOSPI,22.78
035150,백산,KOSPI,22.19
229640,LS에코에너지,KOSPI,21.95
079900,전진건설로봇,KOSPI,21.81
194480,데브시스터즈,KOSDAQ,21.71
383220,F&F,KOSPI,20.98
329180,HD현대중공업,KOSPI,20.92
009470,삼화전기,KOSPI,20.56
362320,청담글로벌,KOSDAQ,20.52
215200,메가스터디교육,KOSDAQ,20.32
003090,대웅,KOSPI,20.22
031980,피에스케이홀딩스,KOSDAQ,20.11
183300,코미코,KOSDAQ,19.95
051360,토비스,KOSDAQ,19.92
263860,지니언스,KOSDAQ,19.92
337930,젝시믹스,KOSDAQ,19.85
241710,코스메카코리아,KOSDAQ,19.58
425420,티에프이,KOSDAQ,19.49
114810,한솔아이원스,KOSDAQ,19.49
214370,케어젠,KOSDAQ,19.36
298040,효성중공업,KOSPI,19.3
310200,애니플러스,KOSDAQ,19.28
098070,한텍,KOSDAQ,19.19
145020,휴젤,KOSDAQ,19.18
009540,HD한국조선해양,KOSPI,19.04
005830,DB손해보험,KOSPI,19.03
039440,에스티아이,KOSDAQ,19.0
009450,경동나비엔,KOSPI,18.84
068930,디지털대성,KOSDAQ,18.78
188040,바이오포트,KOSDAQ,18.65
099430,바이오플러스,KOSDAQ,18.61
240550,동방메디컬,KOSDAQ,18.54
015760,한국전력,KOSPI,18.52
017370,우신시스템,KOSPI,18.5
082920,비츠로셀,KOSDAQ,18.44
059210,메타바이오메드,KOSDAQ,18.37
112610,씨에스윈드,KOSPI,18.31
001450,현대해상,KOSPI,18.26
021240,코웨이,KOSPI,18.21
086280,현대글로비스,KOSPI,18.09
030190,NICE평가정보,KOSPI,18.06
093520,매커스,KOSDAQ,17.87
042660,한화오션,KOSPI,17.85
009180,한솔로지스틱스,KOSPI,17.71
060250,NHN KCP,KOSDAQ,17.34
064400,LG씨엔에스,KOSPI,17.29
042000,카페24,KOSDAQ,17.29
318020,포인트모바일,KOSDAQ,17.17
123410,코리아에프티,KOSDAQ,16.92
052690,한전기술,KOSPI,16.9
058970,엠로,KOSDAQ,16.78
039490,키움증권,KOSPI,16.72
001060,JW중외제약,KOSPI,16.59
101490,에스앤에스텍,KOSDAQ,16.56
100840,SNT에너지,KOSPI,16.38
214180,헥토이노베이션,KOSDAQ,16.28
000150,두산,KOSPI,16.28
075580,세진중공업,KOSPI,16.24
339770,교촌에프앤비,KOSPI,16.22
103590,일진전기,KOSPI,16.2
017960,한국카본,KOSPI,16.05
102710,이엔에프테크놀로지,KOSDAQ,16.03
348210,넥스틴,KOSDAQ,15.98
071970,HD현대마린엔진,KOSPI,15.97
332570,PS일렉트로닉스,KOSDAQ,15.72
459100,위츠,KOSDAQ,15.69
071050,한국금융지주,KOSPI,15.68
090850,현대이지웰,KOSDAQ,15.58
054950,제이브이엠,KOSDAQ,15.56
010120,LS ELECTRIC,KOSPI,15.48
388050,지투파워,KOSDAQ,15.26
084370,유진테크,KOSDAQ,15.22
194370,제이에스코퍼레이션,KOSPI,15.21
089970,브이엠,KOSDAQ,15.17
069620,대웅제약,KOSPI,15.06
282330,BGF리테일,KOSPI,15.03
215000,골프존,KOSDAQ,14.96
251970,펌텍코리아,KOSDAQ,14.9
272290,이녹스첨단소재,KOSDAQ,14.86
161890,한국콜마,KOSPI,14.82
319400,현대무벡스,KOSDAQ,14.8
010140,삼성중공업,KOSPI,14.78
319660,피에스케이,KOSDAQ,14.78
097520,엠씨넥스,KOSPI,14.76
000270,기아,KOSPI,14.62
092730,네오팜,KOSDAQ,14.59
095610,테스,KOSDAQ,14.5
136410,아셈스,KOSDAQ,14.5
213420,덕산네오룩스,KOSDAQ,14.45
204620,글로벌텍스프리,KOSDAQ,14.44
011760,현대코퍼레이션,KOSPI,14.43
047810,한국항공우주,KOSPI,14.33
030000,제일기획,KOSPI,14.2
073240,금호타이어,KOSPI,14.2
037030,파워넷,KOSDAQ,14.04
080530,코디,KOSDAQ,14.0
128940,한미약품,KOSPI,13.99
108320,LX세미콘,KOSPI,13.95
482630,삼양엔씨켐,KOSDAQ,13.89
489790,한화비전,KOSPI,13.85
298380,에이비엘바이오,KOSDAQ,13.81
053690,한미글로벌,KOSPI,13.71
259960,크래프톤,KOSPI,13.67
035600,KG이니시스,KOSDAQ,13.61
005850,에스엘,KOSPI,13.54
002380,KCC,KOSPI,13.48
014680,한솔케미칼,KOSPI,13.47
028050,삼성E&A,KOSPI,13.45
163730,핑거,KOSDAQ,13.41
000810,삼성화재,KOSPI,13.38
236200,슈프리마,KOSDAQ,13.35
192080,더블유게임즈,KOSPI,13.27
042510,라온시큐어,KOSDAQ,13.21
357780,솔브레인,KOSDAQ,13.17
234690,녹십자웰빙,KOSDAQ,13.15
248070,솔루엠,KOSPI,13.11
114090,GKL,KOSPI,13.05
071320,지역난방공사,KOSPI,13.05
294570,쿠콘,KOSDAQ,12.94
083930,아바코,KOSDAQ,12.92
194700,노바렉스,KOSDAQ,12.9
207940,삼성바이오로직스,KOSPI,12.9
000990,DB하이텍,KOSPI,12.89
137400,피엔티,KOSDAQ,12.81
230360,에코마케팅,KOSDAQ,12.81
005180,빙그레,KOSPI,12.66
078600,대주전자재료,KOSDAQ,12.64
453340,현대그린푸드,KOSPI,12.52
016360,삼성증권,KOSPI,12.4
322310,오로스테크놀로지,KOSDAQ,12.4
003490,대한항공,KOSPI,12.32
048910,대원미디어,KOSDAQ,12.26
012510,더존비즈온,KOSPI,12.22
051500,CJ프레시웨이,KOSDAQ,12.21
271560,오리온,KOSPI,12.14
175330,JB금융지주,KOSPI,12.14
051600,한전KPS,KOSPI,12.12
145720,덴티움,KOSPI,12.04
352480,씨앤씨인터내셔널,KOSDAQ,12.03
130580,나이스디앤비,KOSDAQ,12.01
086710,선진뷰티사이언스,KOSDAQ,11.98
094360,칩스앤미디어,KOSDAQ,11.98
263750,펄어비스,KOSDAQ,11.95
030520,한글과컴퓨터,KOSDAQ,11.92
009900,명신산업,KOSPI,11.84
033780,KT&G,KOSPI,11.83
