종목코드,자본총계(원),총주식수
481070,68500000000.0,14260000
265740,65400000000.0,17863600
067730,21000000000.0,9673922
003720,85500000000.0,32923945
140860,225100000000.0,6954230
051360,280000000000.0,14917843
307280,42700000000.0,6805997
031330,486100000000.0,97545067
060250,294600000000.0,37716317
058860,238500000000.0,30573062
014940,125400000000.0,45547289
042000,265900000000.0,24103284
083450,301200000000.0,17949419
295310,90100000000.0,12027291
003090,1176600000000.0,40890710
145020,950300000000.0,10797092
950140,164600000000.0,19867866
007610,35700000000.0,16969019
356860,126100000000.0,9722630
012510,615200000000.0,25686600
023590,3446400000000.0,43150849
007370,159900000000.0,14134587
078520,86600000000.0,23538627
402490,69900000000.0,16693064
332570,130400000000.0,46158109
053270,154000000000.0,27410405
095610,391800000000.0,17734126
012280,81500000000.0,48594505
198080,131600000000.0,21535185
303360,30700000000.0,12879715
332370,69000000000.0,11921444
282330,1313100000000.0,17275015
020180,38900000000.0,38428915
041930,186800000000.0,14585633
473980,103700000000.0,11057322
053060,40300000000.0,17656882
319660,538900000000.0,28966714
472850,234400000000.0,57563696
003650,479400000000.0,1512979
036030,303100000000.0,49019141
015360,645400000000.0,22195000
068930,138300000000.0,25575628
041190,776400000000.0,77871156
214430,139700000000.0,7307215
194370,527400000000.0,29016758
105550,128400000000.0,71663306
064850,68900000000.0,11410332
096240,47000000000.0,8435607
017510,90100000000.0,15246000
445180,107500000000.0,17189188
290120,99300000000.0,15824249
327260,52800000000.0,8493704
007340,2007300000000.0,51762270
033250,45400000000.0,6400000
458350,15400000000.0,8683200
194700,253100000000.0,17754848
080470,60400000000.0,7300000
092730,195400000000.0,15641256
039420,66000000000.0,20246557
016670,86100000000.0,10187750
190510,171700000000.0,14085317
264660,143200000000.0,9419458
071320,2301400000000.0,11578744
448710,53800000000.0,4557542
032190,1610400000000.0,38300000
030720,56400000000.0,4653805
161890,910400000000.0,23605077
134380,173600000000.0,19387530
053800,373500000000.0,8988347
010120,2069800000000.0,148785350
482630,119300000000.0,21888280
071200,191700000000.0,24376453
053610,348600000000.0,7000000
241520,125800000000.0,25800969
254490,110200000000.0,14438000
007980,284600000000.0,45063280
114810,210300000000.0,27351367
059100,44300000000.0,6459240
128940,1249800000000.0,12689111
139670,25400000000.0,14118810
004800,2443600000000.0,16717604
214180,222300000000.0,12583567
014680,1080500000000.0,10902899
268280,448500000000.0,4814431
052690,625000000000.0,38043505
045390,154300000000.0,70473377
003480,444700000000.0,26089504
033640,123600000000.0,23059202
388050,42100000000.0,18709437
479960,40700000000.0,6851000
023760,754100000000.0,312890575
176750,49200000000.0,28344712
033530,522400000000.0,27052299
047400,19600000000.0,42000000
452280,68300000000.0,19246420
178780,41900000000.0,18636980
052860,35300000000.0,16490109
005710,584500000000.0,20037600
000950,227500000000.0,1139470
009320,33300000000.0,49299770
069730,188000000000.0,14400000
086670,149400000000.0,9925885
147830,86200000000.0,19151979
011560,271200000000.0,9819744
244920,169700000000.0,22607693
092460,198700000000.0,17109680
028050,4740700000000.0,196000000
290560,26300000000.0,21993795
373160,45400000000.0,13644442
010140,4148900000000.0,854035571
025880,80100000000.0,15785136
030000,1572300000000.0,101278725
083930,221800000000.0,13777247
097520,385500000000.0,16201072
018120,91600000000.0,6617764
234080,220600000000.0,15484554
249420,246400000000.0,31508117
064760,519300000000.0,11179416
294570,170500000000.0,10069761
110990,237200000000.0,18633328
272290,393300000000.0,18831242
094820,145000000000.0,15078709
039830,175600000000.0,9709731
066620,323900000000.0,6766661
002800,74800000000.0,15170500
035150,258600000000.0,20028841
008930,961900000000.0,67751141
053300,204000000000.0,38033211
459550,48300000000.0,24656533
001560,108700000000.0,6640000
403850,184100000000.0,14351010
115500,19700000000.0,12000000
016360,8068100000000.0,89300000
054040,164500000000.0,13197682
001620,263300000000.0,22258606
136410,71600000000.0,10475646
021080,204500000000.0,45994575
000270,61187900000000.0,388656043
054950,233900000000.0,11536989
096610,14400000000.0,17386411
023450,54500000000.0,3349314
264450,195800000000.0,14665493
011760,692700000000.0,12010966
088390,175100000000.0,9385834
009780,189200000000.0,17600000
005850,2552500000000.0,46055462
009970,3015200000000.0,11604898
236200,271100000000.0,6941083
037270,188600000000.0,63663110
003280,255000000000.0,240424899
111770,4092300000000.0,42560112
052790,256900000000.0,10924547
088910,239500000000.0,25721764
263860,62200000000.0,8653420
101160,346600000000.0,16510993
060850,53800000000.0,8131000
000990,2142400000000.0,42008174
136480,325400000000.0,106187182
052420,281300000000.0,9742009
213420,451800000000.0,24562915
453340,729500000000.0,32269023
006800,13303600000000.0,439383960
175330,5914600000000.0,185444444
330730,93800000000.0,17502096
009240,399800000000.0,16600322
417180,31100000000.0,3508794
251970,294500000000.0,12398386
102710,447600000000.0,14287836
058630,136900000000.0,19202574
317450,794400000000.0,14600000
009450,770500000000.0,14452932
010690,571400000000.0,34748441
215360,120800000000.0,9132163
000300,36200000000.0,41437055
290550,202800000000.0,20001230
065690,58900000000.0,11620018
227840,320100000000.0,8821701
138610,45800000000.0,11367793
290270,50400000000.0,9225919
079960,440900000000.0,7551658
243070,373900000000.0,11651765
035890,1083600000000.0,185368615
226400,67500000000.0,20061165
033780,9279600000000.0,92944267
005940,9433300000000.0,355660698
475150,273000000000.0,34044181
271980,211100000000.0,14704872
067280,230500000000.0,5926779
284740,1084600000000.0,22422380
094850,99100000000.0,13392817
036890,297500000000.0,20234280
012030,449200000000.0,191030533
130580,115600000000.0,15400000
053580,111200000000.0,12565408
