종목코드,종목명,시장,ROE(%),예상ROE(%),현재가,적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),정렬기준(%)
080470,성창오토텍,KOSDAQ,14.99,0.0,4170,11910,9940,0,0,185.61
005710,대원산업,KOSDAQ,14.01,0.0,13950,39260,33800,0,0,181.43
054800,아이디스홀딩스,KOSDAQ,11.11,0.0,16400,45540,43990,0,0,177.68
378850,화승알앤에이,KOSPI,11.49,0.0,3520,9700,9210,0,0,175.57
042420,네오위즈홀딩스,KOSDAQ,10.08,0.0,20000,55020,55990,0,0,175.1
081580,성우전자,KOSDAQ,11.53,0.0,3005,8230,7800,0,0,173.88
054040,한국컴퓨터,KOSDAQ,13.04,0.0,5720,15610,13910,0,0,172.9
018500,동원금속,KOSPI,17.68,0.0,1807,4830,3760,0,0,167.29
005960,동부건설,KOSPI,10.28,0.0,9120,24120,24290,0,0,164.47
013700,까뮤이앤씨,KOSPI,19.4,0.0,1344,3510,2630,0,0,161.16
023590,다우기술,KOSPI,15.95,0.0,48300,122370,99380,0,0,153.35
004920,씨아이테크,KOSPI,22.84,0.0,1221,3080,2170,0,0,152.25
012280,영화금속,KOSPI,15.74,0.0,1059,2650,2170,0,0,150.24
032190,다우데이타,KOSDAQ,14.76,0.0,23850,59620,50110,0,0,149.98
053060,세동,KOSDAQ,15.6,0.0,1378,3420,2800,0,0,148.19
015360,INVENI,KOSPI,15.46,0.0,17400,43180,35550,0,0,148.16
066620,국보디자인,KOSDAQ,13.15,0.0,24550,60470,53650,0,0,146.31
090150,아이윈,KOSDAQ,20.77,0.0,945,2320,1690,0,0,145.5
100220,비상교육,KOSPI,11.28,0.0,7350,17670,16930,0,0,140.41
030720,동원수산,KOSPI,14.73,0.0,7150,17150,14430,0,0,139.86
035890,서희건설,KOSDAQ,11.84,0.0,2785,6650,6210,0,0,138.78
123410,코리아에프티,KOSDAQ,18.48,0.0,7020,16610,12690,0,0,136.61
011760,현대코퍼레이션,KOSPI,12.91,13.58,30300,71520,64030,75230,65730,136.04
015750,성우하이텍,KOSDAQ,10.52,0.0,9100,21430,21310,0,0,135.49
058850,KTcs,KOSPI,11.55,0.0,2705,6220,5890,0,0,129.94
025880,케이씨피드,KOSDAQ,13.67,0.0,2915,6660,5800,0,0,128.47
006040,동원산업,KOSPI,11.61,8.16,39100,89150,84170,62660,72010,128.01
033250,체시스,KOSPI,15.0,0.0,4555,10220,8530,0,0,124.37
073240,금호타이어,KOSPI,18.53,14.86,5610,12580,9590,10080,8450,124.24
284740,쿠쿠홈시스,KOSPI,11.7,0.0,24250,54370,51120,0,0,124.21
461300,아이스크림미디어,KOSDAQ,25.36,0.0,17530,39200,26700,0,0,123.62
041190,우리기술투자,KOSDAQ,15.33,0.0,6590,14680,12130,0,0,122.76
012630,HDC,KOSPI,10.82,0.0,27800,61330,60070,0,0,120.61
096760,JW홀딩스,KOSPI,23.57,0.0,4125,8740,6100,0,0,111.88
016740,두올,KOSPI,11.34,0.0,5040,10610,10140,0,0,110.52
032620,GC메디아이,KOSDAQ,30.72,0.0,3925,8220,5280,0,0,109.43
094970,제이엠티,KOSDAQ,10.13,0.0,4035,8410,8540,0,0,108.43
080010,이상네트웍스,KOSDAQ,10.8,0.0,7640,15840,15530,0,0,107.33
035610,솔본,KOSDAQ,10.28,0.0,3705,7680,7730,0,0,107.29
005430,한국공항,KOSPI,10.46,0.0,65200,133130,132790,0,0,104.19
052460,아이크래프트,KOSDAQ,24.65,0.0,4455,9060,6230,0,0,103.37
003090,대웅,KOSPI,16.11,0.0,22200,44530,36010,0,0,100.59
104460,디와이피엔에프,KOSDAQ,18.26,0.0,14000,27750,21290,0,0,98.21
003010,혜인,KOSPI,11.49,0.0,7410,14370,13640,0,0,93.93
339950,아이비김영,KOSDAQ,32.19,24.3,2715,5260,3340,3970,2740,93.74
041510,에스엠,KOSDAQ,41.65,12.73,92200,175210,104120,53550,48270,90.03
090850,현대이지웰,KOSDAQ,23.24,0.0,6060,11500,8070,0,0,89.77
005440,현대지에프홀딩스,KOSPI,11.18,7.45,14880,28170,27120,18770,22810,89.31
036030,케이티알파,KOSDAQ,15.47,0.0,4945,9190,7560,0,0,85.84
005830,DB손해보험,KOSPI,17.72,14.29,164600,305410,237260,246300,210120,85.55
194370,제이에스코퍼레이션,KOSPI,15.29,16.53,14400,26700,22090,28860,23080,85.42
009780,엠에스씨,KOSDAQ,12.83,0.0,7160,13250,11900,0,0,85.06
010240,흥국,KOSDAQ,10.73,0.0,5770,10620,10450,0,0,84.06
067160,SOOP,KOSDAQ,24.08,17.39,55300,101370,70240,73200,57310,83.31
265560,영화테크,KOSDAQ,22.82,0.0,10360,18990,13400,0,0,83.3
079960,동양이엔피,KOSDAQ,11.81,0.0,36550,66240,61990,0,0,81.23
047080,한빛소프트,KOSDAQ,35.51,0.0,1315,2380,1470,0,0,80.99
014580,태경비케이,KOSPI,10.6,0.0,4810,8690,8610,0,0,80.67
017370,우신시스템,KOSPI,10.18,13.54,5950,10720,10850,14250,12470,80.17
