종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,적정주가(S-RIM),보수적주가(S-RIM)
214150,클래시스,KOSDAQ,26.21,553000000000.0,65153528,21390,14410
031820,아이티센씨티에스,KOSPI,25.89,229000000000.0,12105146,47090,31850
018290,브이티,KOSDAQ,25.66,242400000000.0,34636358,17270,11710
461300,아이스크림미디어,KOSDAQ,25.36,204400000000.0,12703464,39240,26710
484870,엠앤씨솔루션,KOSPI,25.32,194700000000.0,9153900,51780,35270
100840,SNT에너지,KOSPI,25.15,364700000000.0,19761108,44630,30470
403870,HPSP,KOSDAQ,24.79,308200000000.0,81262870,9040,6200
336570,원텍,KOSDAQ,24.79,157400000000.0,88731173,4230,2900
003080,SB성보,KOSPI,24.66,153600000000.0,19588021,18590,12770
052460,아이크래프트,KOSDAQ,24.65,46500000000.0,12157936,9070,6230
476060,온코닉테라퓨틱스,KOSDAQ,24.65,72000000000.0,45407840,3760,2580
000910,유니온,KOSPI,24.46,107800000000.0,15611619,16240,11190
298040,효성중공업,KOSPI,24.41,2351700000000.0,9311741,592770,408650
065710,서호전기,KOSDAQ,24.38,81900000000.0,5033519,38140,26310
075580,세진중공업,KOSPI,24.35,228500000000.0,56849456,9410,6490
033500,동성화인텍,KOSDAQ,24.23,258900000000.0,29941263,20150,13920
067160,SOOP,KOSDAQ,24.08,467000000000.0,10656904,101460,70270
192820,코스맥스,KOSPI,23.86,558200000000.0,11345662,112870,78420
031440,신세계푸드,KOSPI,23.71,357900000000.0,3615451,225680,157120
096760,JW홀딩스,KOSPI,23.57,267000000000.0,69190827,8750,6100
002380,KCC,KOSPI,23.51,7824500000000.0,7060596,2505150,1749150
136490,선진,KOSPI,23.5,563100000000.0,23779208,53510,37370
036120,서울평가정보,KOSDAQ,23.39,32100000000.0,33740761,2140,1500
090850,현대이지웰,KOSDAQ,23.24,109300000000.0,21209445,11520,8070
036580,팜스코,KOSPI,23.16,207200000000.0,35018836,13180,9250
383220,F&F,KOSPI,23.16,1878700000000.0,37481574,111620,78340
064820,케이프,KOSDAQ,23.12,301400000000.0,30860215,21710,15250
098120,마이크로컨텍솔,KOSDAQ,23.08,81300000000.0,8312766,21700,15250
049720,고려신용정보,KOSDAQ,22.89,63000000000.0,14290016,9700,6840
224060,더코디,KOSDAQ,22.85,118700000000.0,5133445,50800,35820
004920,씨아이테크,KOSPI,22.84,73200000000.0,52179872,3080,2170
265560,영화테크,KOSDAQ,22.82,92600000000.0,10690180,19010,13410
462870,시프트업,KOSPI,22.71,921200000000.0,57596385,34930,24680
381970,케이카,KOSPI,22.63,223900000000.0,48820848,9980,7060
042660,한화오션,KOSPI,22.59,6170300000000.0,306357807,43750,30970
138040,메리츠금융지주,KOSPI,22.53,10322600000000.0,163558176,136720,96890
098070,한텍,KOSDAQ,22.45,162400000000.0,11121141,31520,22370
058470,리노공업,KOSDAQ,22.45,731200000000.0,75895600,20800,14760
114840,아이패밀리에스씨,KOSDAQ,22.28,104500000000.0,17029455,13150,9350
077970,STX엔진,KOSPI,22.26,343000000000.0,40138766,18290,13020
148150,세경하이테크,KOSDAQ,22.13,235800000000.0,33987221,14760,10530
259630,엠플러스,KOSDAQ,22.12,102000000000.0,11899483,18230,13000
368770,파이버프로,KOSDAQ,22.06,45800000000.0,32760225,2970,2120
069620,대웅제약,KOSPI,21.75,1006100000000.0,11506270,182870,131220
484590,삼양컴텍,KOSDAQ,21.6,156500000000.0,41210450,7890,5670
229640,LS에코에너지,KOSPI,21.43,209200000000.0,30624879,14080,10160
173130,오파스넷,KOSDAQ,21.36,64700000000.0,13043084,10190,7360
101490,에스앤에스텍,KOSDAQ,21.24,303000000000.0,20829604,29710,21500
