종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,예상ROE(%),적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),할인율(%)
035900,JYP Ent.,KOSDAQ,29.21,620600000000.0,33133059,16.21,52560,34260,29170,23520,10.41
353810,이지바이오,KOSDAQ,29.06,107200000000.0,33081920,0.0,9050,5910,0,0,10.41
090080,평화산업,KOSPI,29.03,62100000000.0,54902259,0.0,3150,2060,0,0,10.41
036620,감성코퍼레이션,KOSDAQ,28.75,134000000000.0,89862944,0.0,4120,2700,0,0,10.41
001840,이화공영,KOSDAQ,28.15,8900000000.0,28255354,0.0,850,560,0,0,10.41
092130,이크레더블,KOSDAQ,28.08,42700000000.0,12043600,0.0,9560,6310,0,0,10.41
258790,소프트캠프,KOSDAQ,27.93,15400000000.0,3985624,0.0,10370,6850,0,0,10.41
204620,글로벌텍스프리,KOSDAQ,27.81,140000000000.0,70272633,0.0,5320,3520,0,0,10.41
450950,아스테라시스,KOSDAQ,27.74,46800000000.0,37627592,30.27,3310,2190,3620,2330,10.41
059090,미코,KOSDAQ,27.23,115200000000.0,31496097,0.0,9570,6370,0,0,10.41
019010,베뉴지,KOSDAQ,27.16,390600000000.0,40200000,0.0,25350,16890,0,0,10.41
066360,체리부로,KOSDAQ,27.0,100700000000.0,47952015,0.0,5450,3640,0,0,10.41
033100,제룡전기,KOSDAQ,26.93,239300000000.0,16062409,0.0,38540,25750,0,0,10.41
214450,파마리서치,KOSDAQ,26.88,689300000000.0,10389648,25.32,171310,114530,161370,109960,10.41
206650,유바이오로직스,KOSDAQ,26.85,175400000000.0,36553307,0.0,12380,8280,0,0,10.41
002990,금호건설,KOSPI,26.79,247800000000.0,37026933,0.0,17220,11530,0,0,10.41
260970,에스앤디,KOSDAQ,26.71,86200000000.0,2892754,0.0,76460,51220,0,0,10.41
019540,일지테크,KOSDAQ,26.7,191800000000.0,13213126,0.0,37230,24940,0,0,10.41
045340,토탈소프트,KOSDAQ,26.65,36600000000.0,8372749,0.0,11190,7500,0,0,10.41
154040,다산솔루에타,KOSDAQ,26.55,52600000000.0,17950094,0.0,7470,5020,0,0,10.41
010280,아이티센엔텍,KOSDAQ,26.23,99400000000.0,13024755,0.0,19230,12960,0,0,10.41
214150,클래시스,KOSDAQ,26.21,553000000000.0,65153528,28.86,21370,14400,23530,15390,10.41
031820,아이티센씨티에스,KOSPI,25.89,229000000000.0,12105146,0.0,47050,31830,0,0,10.41
018290,브이티,KOSDAQ,25.66,242400000000.0,34636358,0.0,17250,11700,0,0,10.41
461300,아이스크림미디어,KOSDAQ,25.36,204400000000.0,12703464,0.0,39200,26700,0,0,10.41
484870,엠앤씨솔루션,KOSPI,25.32,194700000000.0,9153900,0.0,51730,35250,0,0,10.41
100840,SNT에너지,KOSPI,25.15,364700000000.0,19761108,19.4,44590,30450,34390,25770,10.41
403870,HPSP,KOSDAQ,24.79,308200000000.0,81262870,0.0,9030,6200,0,0,10.41
336570,원텍,KOSDAQ,24.79,157400000000.0,88731173,25.09,4220,2900,4280,2920,10.41
003080,SB성보,KOSPI,24.66,153600000000.0,19588021,0.0,18580,12770,0,0,10.41
052460,아이크래프트,KOSDAQ,24.65,46500000000.0,12157936,0.0,9060,6230,0,0,10.41
476060,온코닉테라퓨틱스,KOSDAQ,24.65,72000000000.0,45407840,0.0,3750,2580,0,0,10.41
000910,유니온,KOSPI,24.46,107800000000.0,15611619,0.0,16220,11180,0,0,10.41
298040,효성중공업,KOSPI,24.41,2351700000000.0,9311741,30.83,592200,408460,747950,479960,10.41
065710,서호전기,KOSDAQ,24.38,81900000000.0,5033519,0.0,38110,26290,0,0,10.41
075580,세진중공업,KOSPI,24.35,228500000000.0,56849456,21.8,9400,6490,8420,6040,10.41
033500,동성화인텍,KOSDAQ,24.23,258900000000.0,29941263,29.76,20130,13920,24720,16020,10.41
067160,SOOP,KOSDAQ,24.08,467000000000.0,10656904,17.39,101370,70240,73200,57310,10.41
192820,코스맥스,KOSPI,23.86,558200000000.0,11345662,22.31,112770,78380,105440,75020,10.41
031440,신세계푸드,KOSPI,23.71,357900000000.0,3615451,0.0,225470,157050,0,0,10.41
096760,JW홀딩스,KOSPI,23.57,267000000000.0,69190827,0.0,8740,6100,0,0,10.41
002380,KCC,KOSPI,23.51,7824500000000.0,7060596,2.55,2502750,1748350,271460,724100,10.41
136490,선진,KOSPI,23.5,563100000000.0,23779208,0.0,53460,37350,0,0,10.41
036120,서울평가정보,KOSDAQ,23.39,32100000000.0,33740761,0.0,2140,1500,0,0,10.41
090850,현대이지웰,KOSDAQ,23.24,109300000000.0,21209445,0.0,11500,8070,0,0,10.41
036580,팜스코,KOSPI,23.16,207200000000.0,35018836,0.0,13160,9240,0,0,10.41
383220,F&F,KOSPI,23.16,1878700000000.0,37481574,18.34,111510,78300,88310,67650,10.41
064820,케이프,KOSDAQ,23.12,301400000000.0,30860215,0.0,21690,15240,0,0,10.41
098120,마이크로컨텍솔,KOSDAQ,23.08,81300000000.0,8312766,0.0,21680,15240,0,0,10.41
049720,고려신용정보,KOSDAQ,22.89,63000000000.0,14290016,0.0,9690,6830,0,0,10.41
224060,더코디,KOSDAQ,22.85,118700000000.0,5133445,0.0,50750,35810,0,0,10.41
004920,씨아이테크,KOSPI,22.84,73200000000.0,52179872,0.0,3080,2170,0,0,10.41
265560,영화테크,KOSDAQ,22.82,92600000000.0,10690180,0.0,18990,13400,0,0,10.41
462870,시프트업,KOSPI,22.71,921200000000.0,57591385,0.0,34890,24670,0,0,10.41
381970,케이카,KOSPI,22.63,223900000000.0,48820848,0.0,9970,7060,0,0,10.41
