종목코드,종목명,시장,2025/12(E)_ROE(%)
000660,SK하이닉스,KOSPI,42.0
267260,HD현대일렉트릭,KOSPI,40.82
064350,현대로템,KOSPI,32.6
402340,SK스퀘어,KOSPI,31.24
138040,메리츠금융지주,KOSPI,26.76
079550,LIG넥스원,KOSPI,25.08
012450,한화에어로스페이스,KOSPI,22.82
329180,HD현대중공업,KOSPI,22.46
015760,한국전력,KOSPI,20.2
009540,HD한국조선해양,KOSPI,19.86
086280,현대글로비스,KOSPI,17.98
042660,한화오션,KOSPI,17.83
010140,삼성중공업,KOSPI,16.08
207940,삼성바이오로직스,KOSPI,13.4
259960,크래프톤,KOSPI,13.38
000270,기아,KOSPI,13.34
034730,SK,KOSPI,12.25
000810,삼성화재,KOSPI,12.25
033780,KT&G,KOSPI,11.06
030200,KT,KOSPI,10.52
010130,고려아연,KOSPI,10.47
105560,KB금융,KOSPI,9.88
005380,현대차,KOSPI,9.73
316140,우리금융지주,KOSPI,9.52
086790,하나금융지주,KOSPI,9.39
005930,삼성전자,KOSPI,9.3
055550,신한지주,KOSPI,8.91
012330,현대모비스,KOSPI,8.38
018260,삼성에스디에스,KOSPI,8.24
035420,NAVER,KOSPI,8.09
024110,기업은행,KOSPI,7.96
009150,삼성전기,KOSPI,7.43
066570,LG전자,KOSPI,6.93
011200,HMM,KOSPI,6.83
028260,삼성물산,KOSPI,6.62
032830,삼성생명,KOSPI,6.55
035720,카카오,KOSPI,5.42
068270,셀트리온,KOSPI,4.7
003550,LG,KOSPI,4.43
017670,SK텔레콤,KOSPI,3.54
034020,두산에너빌리티,KOSPI,2.49
005490,POSCO홀딩스,KOSPI,1.96
003670,포스코퓨처엠,KOSPI,1.43
352820,하이브,KOSPI,1.27
005935,삼성전자우,KOSPI,0.0
323410,카카오뱅크,KOSPI,0.0
373220,LG에너지솔루션,KOSPI,-0.76
051910,LG화학,KOSPI,-1.77
006400,삼성SDI,KOSPI,-3.31
096770,SK이노베이션,KOSPI,-4.9
